Index of total share prices US 2015=100 (from https://fred.stlouisfed.org/series/SPASTT01USM661N)
DATE;Value
2004-10-01;61.8998493521016
2004-11-01;64.9732163302884
2004-12-01;66.8493609990995
2005-01-01;66.0967302803212
2005-02-01;67.8469994282217
2005-03-01;68.08076825277
2005-04-01;66.290413745532
2005-05-01;66.4794143416612
2005-06-01;67.7982039323925
2005-07-01;69.1415317571108
2005-08-01;70.0831630720183
2005-09-01;71.011588696116
2005-10-01;69.0557415955378
2005-11-01;71.1132069551844
2005-12-01;72.9563842256618
2006-01-01;74.8948110532568
2006-02-01;75.3682491173962
2006-03-01;76.5587280952945
2006-04-01;78.1582088587708
2006-05-01;78.1904269980514
2006-06-01;74.7909450170292
2006-07-01;75.9610066857322
2006-08-01;77.6876741734619
2006-09-01;78.5390197724781
2006-10-01;81.0230945054492
2006-11-01;82.9852166505966
2006-12-01;85.1180762024554
2007-01-01;85.5371929852494
2007-02-01;87.572929832358
2007-03-01;85.420870517265
2007-04-01;89.4411136237305
2007-05-01;92.0211871728723
2007-06-01;92.6925232843958
2007-07-01;93.5409655045815
2007-08-01;88.4166891834622
2007-09-01;91.4896815321224
2007-10-01;95.1495310340758
2007-11-01;91.0900454847074
2007-12-01;91.88257424806
2008-01-01;85.9213755646954
2008-02-01;84.648946377871
2008-03-01;82.1694608565998
2008-04-01;85.9222184811301
2008-05-01;88.2616862168646
2008-06-01;84.2632652803189
2008-07-01;78.9506439647417
2008-08-01;78.3181756665947
2008-09-01;74.0719372982561
2008-10-01;57.4156275770414
2008-11-01;51.779607322696
2008-12-01;51.7366185845279
2009-01-01;51.378472757175
2009-02-01;47.3830488568414
2009-03-01;44.3909764859095
2009-04-01;50.0141656789715
2009-05-01;54.5226447158739
2009-06-01;56.0599369779479
2009-07-01;56.3407218080745
2009-08-01;61.6001457308858
2009-09-01;63.9741730404417
2009-10-01;65.4323248150384
2009-11-01;66.3718020101684
2009-12-01;67.1647054030475
2010-01-01;67.9826153168218
2010-02-01;65.1309353609532
2010-03-01;68.8368642946686
2010-04-01;71.2205383145324
2010-05-01;65.5570764473694
2010-06-01;63.3849744526077
2010-07-01;63.6621066448507
2010-08-01;64.8323556283169
2010-09-01;66.9184801467424
2010-10-01;70.0758577962512
2010-11-01;71.2458258075724
2010-12-01;73.4390943705826
2011-01-01;75.8366296829276
2011-02-01;78.3819563434847
2011-03-01;77.4994228363857
2011-04-01;79.3437239954426
2011-05-01;78.7945171095646
2011-06-01;75.9440546996571
2011-07-01;77.6740938531256
2011-08-01;68.7667149158278
2011-09-01;66.5573372831773
2011-10-01;67.948898659435
2011-11-01;68.6442110606558
2011-12-01;69.3681826206553
2012-01-01;72.3130516712457
2012-02-01;75.6141934015565
2012-03-01;76.4875484852558
2012-04-01;75.3468952343846
2012-05-01;72.1718163397478
2012-06-01;70.7619917740722
2012-07-01;72.7995081114316
2012-08-01;75.0352034683201
2012-09-01;77.4222491539226
2012-10-01;77.609189287656
2012-11-01;76.134928443419
2012-12-01;78.3935698588068
2013-01-01;81.9272628677047
2013-02-01;83.3436434500944
2013-03-01;84.6809772023884
2013-04-01;85.1552581829625
2013-05-01;88.4165955260805
2013-06-01;86.20319062602
2013-07-01;88.4996696235863
2013-08-01;88.9430436682224
2013-09-01;90.1150721419396
2013-10-01;92.1681356046497
2013-11-01;94.6492133014086
2013-12-01;95.0910888279387
2014-01-01;95.9823324715293
2014-02-01;95.3644747249166
2014-03-01;97.5370450065864
2014-04-01;98.4552619760864
2014-05-01;99.7269419038579
2014-06-01;102.133842954366
2014-07-01;102.877388907126
2014-08-01;101.528347982128
2014-09-01;102.387935430728
2014-10-01;98.0721096278383
2014-11-01;102.260186762185
2014-12-01;101.376529366506
2015-01-01;100.079093658786
2015-02-01;102.775583333294
2015-03-01;102.253724402852
2015-04-01;103.848803269392
2015-05-01;104.406813949143
2015-06-01;103.163231235861
2015-07-01;101.693840575468
2015-08-01;98.640141647424
2015-09-01;93.2241225825274
2015-10-01;96.7003099591045
2015-11-01;97.660672750338
2015-12-01;95.553662635809
2016-01-01;89.2078130860903
2016-02-01;88.2409879355244
2016-03-01;94.195068657885
2016-04-01;96.8375180231924
2016-05-01;96.8365814493761
2016-06-01;97.5245885748296
2016-07-01;99.9992039122561
2016-08-01;101.047979271748
2016-09-01;100.230163015356
2016-10-01;99.0518594970692
2016-11-01;99.854222285493
2016-12-01;103.843652113402
2017-01-01;105.023547807176
2017-02-01;106.974431066528
2017-03-01;107.7979604232
2017-04-01;107.274322002507
2017-05-01;108.387908270087
2017-06-01;109.926137105978
2017-07-01;111.184705000321
2017-08-01;110.952622008642
2017-09-01;112.86192139055
2017-10-01;115.632306739164
2017-11-01;115.948587716928
2017-12-01;119.044807096232
2018-01-01;124.243166406221
2018-02-01;119.489117714685
2018-03-01;118.081728240932
2018-04-01;117.40130736339
2018-05-01;118.303508920631
2018-06-01;118.59993453349
2018-07-01;119.529577703549
2018-08-01;121.281532684319
2018-09-01;122.261188896168
2018-10-01;117.418446664228
2018-11-01;115.529377276752
2018-12-01;108.75523252084
2019-01-01;111.166160838758
2019-02-01;117.223451995675
2019-03-01;118.282997954054
2019-04-01;121.037836177318
2019-05-01;118.64245498475
2019-06-01;120.173472202255
2019-07-01;123.43003301891
2019-08-01;118.284028185252
2019-09-01;121.758904358487
2019-10-01;121.350932804107
2019-11-01;125.88704076859
2019-12-01;128.520311710498
2020-01-01;130.905203276323
2020-02-01;128.693577866513
2020-03-01;100.458031424861
2020-04-01;101.804075313647
2020-05-01;105.655547818415
2020-06-01;113.166214223466
2020-07-01;115.094338739081
2020-08-01;120.63801281514
2020-09-01;119.745551625588
2020-10-01;121.471095224738
2020-11-01;128.247956044718
2020-12-01;134.594086566581
2021-01-01;138.83573572322
2021-02-01;142.342923693117
2021-03-01;144.964862091847
2021-04-01;150.286006229152
